,building characteristics factors,,,,,,,,,Structural and architectural factors,,,,,Financial properties factors,,,Social Factors,,Governmental Factors,,Physical/Environmental Factors,Economic factors,,,,,Output
Project 363,290,150,9,4600000,2,1,2,1,2,4,3,1,1,3,3400,11,5100,3,3,2,2,2,17.5,14.56666667,2,14.573,13,965000
Project 364,210,110,11,5600000,2,2,2,2,2,3,2,2,2,2,3700,12,5500,3,2,1,1,2,16.66666667,12.16666667,3,12.16,14,786500
Project 365,210,110,14,4600000,2,1,2,2,2,3,2,2,1,2,3500,13,5250,3,2,2,2,2,17.9,15.13333333,1,15.10033333,12,764500
Project 366,210,110,14,4900000,2,1,2,1,2,3,2,2,1,2,3400,13,5100,3,2,2,2,2,17.5,14.56666667,1,14.573,15,737000
Project 367,230,120,14,5300000,2,2,2,1,2,3,2,2,2,3,3800,11,5650,3,3,2,2,2,15.96666667,7,3,6.962666667,10,848000
Project 368,210,110,19,4300000,2,1,2,1,2,3,2,2,2,2,3400,11,5100,3,3,2,2,2,17.5,14.56666667,2,14.573,13,742500
Project 369,270,140,14,4250000,2,2,2,2,2,3,3,2,1,1,1850,13,3100,3,2,1,1,2,13.06666667,12.2,2,12.181,12,651000
Project 370,270,140,14,3250000,2,1,2,2,2,3,3,2,1,2,2750,11,4100,3,2,1,1,2,17.23333333,30.33333333,2,30.31233333,11,868000
Project 371,250,130,9,2450000,1,2,2,2,2,3,2,1,1,2,3600,14,5150,3,2,1,1,2,17.53333333,13.76666667,2,13.742,13,864000
Project 372,190,100,6,3450000,2,2,2,1,2,3,1,2,1,2,3700,14,5300,3,1,1,1,2,16.66666667,12.16666667,2,12.16,9,700000
Project 373,180,90,7,2550000,1,1,2,1,2,2,1,1,1,1,3500,11,5050,3,1,1,1,2,17.9,15.13333333,2,15.10033333,8,614000
Project 374,180,90,7,3550000,2,1,2,1,2,2,1,1,1,2,3300,9,4800,3,1,2,2,2,18.23333333,12.96666667,2,12.985,12,732500
Project 375,200,90,7,2550000,1,1,2,1,2,2,1,2,1,1,1650,10,2750,3,1,1,2,2,11.56666667,11.83333333,2,11.82166667,9,494000
Project 376,200,90,9,3660000,2,1,2,1,2,2,1,2,1,1,1700,13,2800,3,1,1,2,2,11.66666667,8.5,2,8.489,10,698500
Project 377,240,110,24,2600000,1,2,2,2,2,3,2,2,2,3,3900,13,6000,3,1,2,1,1,14.3,4.6,2,4.62,20,858000
Project 378,210,105,17,3600000,2,1,2,2,1,3,2,2,1,2,3500,16,5050,1,3,2,1,2,17.9,15.13333333,2,15.10033333,17,713750
Project 379,195,100,13,3200000,2,1,2,2,1,3,2,2,1,1,1400,16,2400,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,15,400000
Project 380,165,80,19,2200000,1,1,2,2,1,2,2,2,1,1,1400,16,2600,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,20,358000
Project 381,190,80,11,3300000,1,2,1,1,2,2,1,1,1,1,1600,15,2450,1,2,1,1,2,11.63333333,10.6,2,10.575,25,330000
Project 382,190,120,13,3200000,2,1,1,2,2,3,3,2,2,2,2450,16,4050,3,3,2,2,1,15.4,18.76666667,1,18.753,15,680000
Project 383,310,110,14,3250000,2,1,2,2,2,3,2,2,1,2,3700,11,5300,1,3,2,2,1,16.66666667,12.16666667,2,12.16,17,775500
Project 384,260,120,23,2000000,1,1,2,1,1,3,2,1,1,2,3900,10,5550,1,3,2,1,1,14.3,4.6,2,4.624666667,20,860000
Project 385,180,95,29,3900000,2,2,2,2,2,2,1,1,1,2,3600,13,4750,2,2,1,1,2,17.53333333,13.76666667,2,13.742,21,618250
Project 386,230,110,24,3600000,2,1,2,1,1,3,2,2,1,2,2600,12,3900,2,2,2,2,2,16.53333333,29.73333333,1,29.76633333,25,605000
Project 387,210,110,13,3350000,2,2,2,1,2,2,2,1,1,1,2900,13,3600,1,1,1,1,2,19.23333333,32.16666667,1,32.15333333,13,572000
Project 388,230,115,15,3850000,2,2,1,2,1,3,2,2,2,2,3400,15,5300,3,2,1,1,2,17.5,14.56666667,2,14.573,15,800000
Project 389,220,115,9,3800000,2,1,2,1,2,3,2,2,1,2,1750,11,2850,3,1,2,2,2,11.63333333,10.63333333,3,10.61366667,11,776250
Project 390,170,90,11,3500000,2,2,2,1,2,2,1,2,1,2,1800,13,2900,3,1,2,2,2,12.1,9.4,3,9.414666667,12,716500
Project 391,170,90,14,2500000,1,1,2,1,2,2,1,1,1,2,1850,14,3000,3,1,1,1,2,13.06666667,12.2,2,12.181,13,725500
Project 392,170,90,7,3250000,2,1,2,1,2,2,2,1,1,2,2450,11,3750,3,1,2,1,2,15.4,18.76666667,1,18.753,10,811000
Project 393,170,90,8,3250000,2,1,2,1,2,2,2,1,1,2,2600,11,3900,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,12,847000
Project 394,200,100,7,3250000,2,1,2,1,2,3,1,1,1,2,2600,11,3900,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,12,890000
Project 395,200,100,7,2250000,1,1,2,1,2,3,2,1,1,1,1500,11,2550,3,1,2,1,2,11.86666667,11.2,1,11.21833333,14,695000
Project 396,200,100,7,2250000,1,1,2,1,2,2,2,1,1,2,1500,13,2550,3,1,2,1,2,11.86666667,11.2,3,11.21833333,13,695000
Project 397,220,115,12,3340000,2,1,2,1,2,3,2,1,1,2,1450,11,2500,3,1,2,1,2,11.43333333,8.433333333,3,8.437666667,11,724500
Project 398,230,120,14,3550000,2,1,2,1,2,3,2,1,1,2,1600,11,2650,3,1,1,1,2,11.63333333,10.6,3,10.575,11,772000
Project 399,230,120,17,3750000,2,2,2,2,2,3,2,2,2,2,1650,12,2750,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,13,784000
Project 400,240,120,19,3950000,2,2,2,2,2,3,2,2,2,2,1650,12,2750,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,13,784000
Project 401,300,100,10,5010000,2,2,2,2,2,3,2,2,1,3,3150,9,4750,3,3,2,2,2,19.7,26.23333333,3,26.23333333,9,890000
Project 402,280,95,20,3010000,2,1,2,2,2,2,1,1,1,3,3400,10,4900,3,2,1,2,2,18.23333333,12.96666667,3,12.985,5,1193000
Project 403,280,100,10,3210000,2,1,2,2,1,3,2,2,1,3,3500,10,5000,3,1,1,2,2,17.5,14.56666667,2,14.573,4,1245000
Project 404,240,100,15,3410000,2,1,2,2,1,3,2,1,1,3,2850,11,4200,1,3,1,1,2,17.23333333,30.33333333,2,30.31233333,5,1090000
Project 405,250,110,20,3810000,2,1,2,2,2,3,2,1,1,3,2000,11,3150,3,3,1,2,1,13.83333333,14.53333333,2,14.51866667,8,1114000
Project 406,250,110,20,4250000,2,1,2,2,2,3,2,2,1,3,2550,10,4000,3,3,1,2,2,15.4,18.76666667,2,18.753,9,1361500
Project 407,210,90,14,3170000,1,2,1,1,2,2,1,1,1,1,1700,12,2500,1,2,1,1,2,11.63333333,10.6,2,10.575,12,415000
Project 408,260,110,24,4120000,2,2,2,2,2,3,2,2,2,3,2200,12,3300,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,12,954000
Project 409,270,130,23,3950000,2,2,2,2,2,3,3,2,2,3,2100,12,3300,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,12,960000
Project 410,240,120,26,4130000,2,2,2,2,2,3,2,2,2,3,1900,12,3300,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,12,966000
Project 411,260,110,24,4740000,2,2,2,2,2,3,2,2,2,3,2150,12,3600,3,1,1,2,2,13.83333333,14.53333333,3,14.51866667,12,1020000
Project 412,270,110,23,3100000,2,2,2,2,2,3,2,2,2,3,3300,12,4850,3,1,1,2,2,19.23333333,32.16666667,3,32.15333333,21,1260000
Project 413,210,90,15,4900000,2,1,2,1,2,2,2,1,1,3,3700,13,5400,3,2,1,2,2,19.63333333,14.93333333,3,14.928,8,1070000
Project 414,240,100,11,4980000,2,1,2,1,2,3,2,1,1,3,4100,11,5950,3,2,1,1,2,17.53333333,13.76666667,3,13.742,8,1187500
Project 415,230,100,13,3460000,2,2,2,1,2,3,2,1,1,3,4100,11,5400,3,2,1,1,2,16.66666667,12.16666667,3,12.16,12,1143500
Project 416,210,90,11,4330000,2,2,2,1,2,2,1,1,1,2,3900,12,5650,3,3,2,2,2,17.5,14.56666667,2,14.573,9,864000
Project 417,220,100,11,3420000,2,1,2,1,2,3,1,1,1,3,4200,11,5950,3,3,1,1,2,15.96666667,7,3,6.962666667,10,1015000
Project 418,220,100,22,2480000,1,1,2,1,2,3,2,2,1,2,2900,12,4150,1,3,1,1,2,15.4,18.76666667,1,18.753,14,690000
Project 419,300,120,26,4370000,2,2,2,1,2,3,2,2,1,3,3800,13,5650,3,2,1,1,2,17.5,14.56666667,2,14.573,17,1105000
Project 420,310,100,24,4350000,2,1,2,2,2,3,2,1,1,3,4100,13,6050,3,2,1,1,2,16.66666667,12.16666667,3,12.16,14,1050000
Project 421,290,120,18,4940000,2,1,2,1,2,3,3,1,1,3,3900,10,5650,3,3,2,2,2,17.5,14.56666667,2,14.573,17,1155000
Project 422,240,100,16,5250000,2,2,2,2,2,3,2,2,2,3,4100,11,6050,3,2,1,1,2,16.66666667,12.16666667,3,12.16,13,851500
Project 423,250,100,21,4560000,2,1,2,2,2,3,2,2,1,3,3900,12,5800,3,2,2,2,2,17.9,15.13333333,1,15.10033333,11,829500
Project 424,240,100,22,5100000,2,1,2,1,2,3,2,2,1,2,3850,11,5700,3,2,2,2,2,17.5,14.56666667,1,14.573,14,802000
Project 425,250,110,21,5120000,2,2,2,1,2,3,2,2,2,3,4100,10,6250,3,3,2,2,2,15.96666667,7,3,6.962666667,9,913000
Project 426,230,100,25,4480000,2,1,2,1,2,3,2,2,2,3,3800,12,5700,3,3,2,2,2,17.5,14.56666667,2,14.573,12,932500
Project 427,300,120,21,4540000,2,2,2,2,2,3,2,2,1,2,2450,14,3900,3,2,1,1,2,13.06666667,12.2,2,12.181,11,841000
Project 428,300,120,19,3490000,2,1,2,2,2,3,3,2,1,3,3250,12,4900,3,2,1,1,2,17.23333333,30.33333333,2,30.31233333,12,1058000
Project 429,270,110,16,2950000,1,2,2,2,2,3,2,1,1,3,4100,15,5900,3,2,1,1,2,17.53333333,13.76666667,2,13.742,12,1054000
Project 430,220,100,14,3780000,2,2,2,1,2,3,1,2,1,3,4300,15,6000,3,1,1,1,2,16.66666667,12.16666667,2,12.16,8,890000
Project 431,210,90,11,2980000,1,1,2,1,2,2,1,1,1,3,4000,12,5800,3,1,1,1,2,17.9,15.13333333,2,15.10033333,7,804000
Project 432,200,90,15,3900000,2,1,2,1,2,2,1,1,1,3,3900,11,5600,3,1,2,2,2,18.23333333,12.96666667,2,12.985,11,922500
Project 433,220,100,14,2670000,1,1,2,1,2,3,2,2,1,1,2350,10,3200,3,1,1,2,2,11.56666667,11.83333333,2,11.82166667,8,559000
Project 434,230,100,18,3750000,2,1,2,1,2,3,1,2,1,2,2200,11,3300,3,1,1,2,2,11.66666667,8.5,2,8.489,9,763500
Project 435,270,120,31,3820000,2,2,2,2,2,3,3,2,2,3,4500,15,6700,3,1,2,1,1,14.3,4.6,2,4.624666667,21,1048000
Project 436,190,80,11,3000000,1,2,1,1,2,2,1,1,1,1,1600,10,2400,1,2,1,1,2,11.63333333,10.6,2,10.575,12,375000
Project 437,240,100,21,4000000,2,2,2,2,2,3,2,2,2,3,2100,11,3200,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,10,915000
Project 438,250,120,20,3850000,2,2,2,2,2,3,3,2,2,3,2000,12,3200,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,11,920000
Project 439,220,110,23,4030000,2,2,2,2,2,3,2,2,2,3,1750,10,3200,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,9,925000
Project 440,240,110,21,4640000,2,2,2,2,2,3,2,2,2,3,2000,10,3500,3,1,1,2,2,13.83333333,14.53333333,3,14.51866667,12,981000
Project 441,250,100,20,3000000,2,2,2,2,2,3,2,2,2,3,3150,10,4750,3,1,1,2,2,19.23333333,32.16666667,3,32.15333333,21,1220000
Project 442,190,90,12,4750000,2,1,2,1,2,2,2,1,1,3,3550,11,5300,3,2,1,2,2,19.63333333,14.93333333,3,14.928,10,1031000
Project 443,220,90,8,4840000,2,1,2,1,2,3,2,1,1,3,3950,9,5850,3,2,1,1,2,17.53333333,13.76666667,3,13.742,9,1147500
Project 444,210,90,10,3320000,2,2,2,1,2,3,2,1,1,3,3950,9,5300,3,2,1,1,2,16.66666667,12.16666667,3,12.16,11,1103500
Project 445,190,80,8,4220000,2,2,2,1,2,2,1,1,1,3,3750,10,5550,3,3,2,2,2,17.5,14.56666667,2,14.573,9,824000
Project 446,200,90,8,3330000,2,1,2,1,2,3,1,1,1,3,4050,9,5850,3,3,1,1,2,15.96666667,7,3,6.962666667,10,975000
Project 447,200,90,19,2340000,1,1,2,1,2,2,2,2,1,2,2750,10,4050,1,3,1,1,2,15.4,18.76666667,1,18.753,14,650000
Project 448,280,110,23,4260000,2,2,2,1,2,3,2,2,1,3,3650,11,5550,3,2,1,1,2,17.5,14.56666667,2,14.573,17,1065000
Project 449,290,90,21,4255000,2,1,2,2,2,3,2,1,1,3,3950,11,5950,3,2,1,1,2,16.66666667,12.16666667,3,12.16,14,1010000
Project 450,270,110,15,4850000,2,1,2,1,2,3,3,1,1,3,3750,9,5550,3,3,2,2,2,17.5,14.56666667,2,14.573,15,1115000
Project 451,220,90,13,500000,2,2,2,2,2,3,2,2,2,2,3950,9,5950,3,2,1,1,2,16.66666667,12.16666667,3,12.16,13,811500
Project 452,230,90,18,4430000,2,1,2,2,2,3,2,2,1,2,3750,10,5700,3,2,2,2,2,17.9,15.13333333,1,15.10033333,11,789500
Project 453,220,90,19,5100000,2,1,2,1,2,3,2,2,1,2,3700,9,5600,3,2,2,2,2,17.5,14.56666667,1,14.573,14,762000
Project 454,230,100,18,5000000,2,2,2,1,2,3,2,2,2,3,3950,9,6150,3,3,2,2,2,15.96666667,7,3,6.962666667,9,873000
Project 455,210,90,22,4360000,2,1,2,1,2,3,2,2,2,3,3650,10,5600,3,3,2,2,2,17.5,14.56666667,2,14.573,12,892500
Project 456,280,110,18,4420000,2,2,2,2,2,3,2,2,1,3,2300,12,3800,3,2,1,1,2,13.06666667,12.2,2,12.181,11,801000
Project 457,280,110,16,3370000,2,1,2,2,2,3,2,2,1,3,3100,10,4800,3,2,1,1,2,17.23333333,30.33333333,2,30.31233333,12,1018000
Project 458,250,100,13,2840000,1,2,2,2,2,3,2,1,1,3,3950,12,5800,3,2,1,1,2,17.53333333,13.76666667,2,13.742,12,1014000
Project 459,200,90,11,3660000,2,2,2,1,2,2,1,2,1,2,4150,12,5900,3,1,1,1,2,16.66666667,12.16666667,2,12.16,8,850000
Project 460,190,80,8,2840000,1,1,2,1,2,2,1,1,1,2,3850,10,5700,3,1,1,1,2,17.9,15.13333333,2,15.10033333,7,764000
Project 461,180,80,12,3810000,2,1,2,1,2,2,1,1,1,2,3750,9,5500,3,1,2,2,2,18.23333333,12.96666667,2,12.985,11,882500
Project 462,200,90,11,2550000,1,1,2,1,2,2,1,2,1,1,2200,9,3100,3,1,1,2,2,11.56666667,11.83333333,2,11.82166667,8,519000
Project 463,210,90,15,3640000,2,1,2,1,2,2,1,2,1,1,2050,9,3200,3,1,1,2,2,11.66666667,8.5,2,8.489,9,723500
Project 464,250,110,28,3900000,2,2,2,2,2,3,1,2,2,3,4350,11,6600,3,1,2,1,1,14.3,4.6,2,4.624666667,21,1008000
Project 465,270,100,33,3420000,2,2,1,2,1,3,2,2,2,2,3600,15,4900,3,2,1,1,2,17.53,13.77,2,13.74,12,746500
Project 466,210,100,18,2420000,2,1,2,2,2,3,1,1,1,2,3250,15,4700,3,2,2,2,2,17.5,14.56666667,2,14.573,10,701500
Project 467,260,120,16,4420000,2,2,2,2,2,3,2,1,1,2,3500,9,5000,3,2,2,2,2,19.7,26.23333333,2,26.23333333,6,792000
Project 468,250,105,12,4420000,2,1,1,2,2,3,2,2,1,3,1850,11,2800,3,2,2,2,2,18.23333333,12.96666667,2,12.985,7,733000
Project 469,230,110,13,3720000,2,1,2,2,2,3,2,2,2,1,1850,11,2700,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,8,480000
Project 470,210,100,12,1820000,2,1,2,2,2,3,2,2,2,1,2100,11,3100,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,8,445000
Project 471,210,100,13,1320000,2,1,2,2,2,3,2,2,2,1,2800,10,3950,1,3,2,2,1,13.83333333,14.53333333,2,14.51866667,9,490000
Project 472,200,100,11,3120000,2,2,2,2,2,3,2,1,1,2,3250,9,4700,3,3,2,1,2,16.53333333,29.73333333,1,29.76633333,8,628500
Project 473,180,90,14,4020000,2,2,2,2,2,2,2,1,1,2,3700,8,5050,3,3,2,1,2,19.7,26.23333333,2,26.23333333,7,640000
Project 474,170,80,10,3020000,2,1,1,1,1,2,1,2,1,1,2800,10,4100,1,2,1,1,2,17.9,15.13333333,3,15.10033333,8,598000
Project 475,180,100,10,5020000,2,2,2,1,2,3,2,2,2,2,1650,11,3050,1,2,1,1,2,16.53333333,29.73333333,1,29.76633333,10,616000
Project 476,190,100,11,6020000,2,1,1,2,2,3,2,2,1,1,3300,12,5000,1,2,1,1,2,11.56666667,11.83333333,2,11.82166667,9,497500
Project 477,190,100,11,5120000,2,1,1,2,2,3,2,2,1,2,2450,12,3800,1,2,1,1,2,18.23333333,12.96666667,2,12.985,9,691500
Project 478,155,90,10,2120000,1,1,2,1,1,2,1,1,1,1,3700,10,5050,3,1,1,1,2,15.4,18.76666667,1,18.753,8,506000
Project 479,160,90,10,1120000,2,1,1,1,2,2,1,1,1,1,3800,9,5400,3,2,1,1,2,16.66666667,12.16666667,3,12.16,7,618750
Project 480,205,120,13,3120000,2,1,2,2,2,3,2,2,2,2,3900,12,5950,1,2,2,2,2,15.96666667,7,3,6.962666667,9,853500
Project 481,210,120,18,6120000,2,1,2,2,2,3,2,2,2,3,3500,13,5250,1,2,1,1,2,14.3,4.6,3,4.624666667,7,908500
Project 482,280,120,18,5120000,2,1,2,2,2,3,3,2,2,3,3500,9,5250,1,2,1,1,2,17.9,15.13333333,2,15.10033333,12,1043000
Project 483,220,100,20,4170000,2,2,2,2,2,3,2,2,1,2,3300,11,4800,1,2,1,1,2,17.9,15.13333333,2,15.10033333,14,732000
Project 484,200,120,13,2170000,2,1,2,2,2,3,2,1,1,2,1600,12,2600,3,1,1,1,2,18.23333333,12.96666667,2,12.985,8,787500
Project 485,210,100,20,3420000,2,2,2,2,2,3,2,2,2,1,2850,11,4100,3,2,1,2,2,11.43333333,8.433333333,2,8.437666667,12,417000
Project 486,210,100,40,4420000,2,2,2,2,2,3,1,2,2,2,3300,11,4500,3,2,1,2,2,16.53333333,29.73333333,3,29.76633333,14,615000
Project 487,190,90,16,2420000,2,1,2,1,1,2,1,1,2,2,2700,14,3800,1,1,1,1,2,19.7,26.23333333,1,26.23333333,17,635000
Project 488,200,90,23,2320000,2,2,2,1,1,2,1,2,2,1,3550,16,5200,1,1,1,1,2,15.4,18.76666667,1,18.753,14,522000
Project 489,330,140,16,6420000,2,2,2,2,1,4,2,2,2,3,3850,17,5350,3,1,2,1,2,18.23333333,12.96666667,2,12.985,17,1050000
Project 490,290,130,13,5270000,2,2,2,1,2,3,2,1,1,3,3650,8,4900,3,3,2,2,1,17.53333333,13.76666667,3,13.742,9,970500
Project 491,270,130,15,3270000,2,1,2,1,2,3,3,2,1,3,3850,10,5150,3,3,2,2,1,17.5,14.56666667,2,14.573,8,858000
Project 492,180,90,8,2270000,2,2,2,1,2,2,1,2,1,2,3650,12,4700,1,2,1,1,2,17.53333333,13.76666667,2,13.742,10,650000
Project 493,170,90,13,1270000,2,1,2,1,1,2,1,1,1,1,3750,11,5050,3,1,1,1,2,17.5,14.56666667,2,14.573,11,592500
Project 494,220,110,20,2270000,2,2,2,1,1,3,2,2,1,2,3650,12,5100,1,2,1,1,2,17.9,15.13333333,3,15.10033333,12,765000
Project 495,230,110,23,4370000,2,1,2,2,2,3,2,2,1,2,3850,13,5150,3,2,1,1,2,17.5,14.56666667,2,14.573,14,803250
Project 496,220,110,13,2170000,2,1,2,1,2,3,1,2,2,2,3950,12,5300,3,1,2,2,2,17.53333333,13.76666667,3,13.742,9,770000
Project 497,260,130,21,3470000,2,2,2,1,2,3,3,2,2,3,1750,10,2550,3,2,1,1,2,16.66666667,12.16666667,3,12.16,12,912000
Project 498,250,120,24,970000,2,2,2,1,2,3,2,1,2,1,1800,10,2600,3,1,1,1,2,11.86666667,11.2,2,11.21833333,17,474500
Project 499,230,110,15,1070000,2,1,2,1,2,3,2,2,2,1,1700,10,2500,1,2,1,1,2,11.76666667,10.33333333,2,10.35033333,14,456750
Project 500,235,120,25,970000,2,1,2,1,2,3,2,1,1,1,1750,12,2550,3,2,1,1,2,11.43333333,8.433333333,2,8.437666667,13,452000
Project 501,245,120,22,990000,2,2,2,2,2,3,2,2,1,1,1800,10,2600,3,2,1,1,2,11.86666667,11.2,2,11.21833333,11,474500
Project 502,200,90,13,1070000,2,1,2,2,2,2,1,2,1,1,1850,11,2550,3,1,1,1,2,11.76666667,10.33333333,2,10.35033333,9,433250
Project 503,200,100,13,870000,1,1,1,1,1,3,1,1,1,1,1900,10,2700,3,2,1,1,2,11.63333333,10.6,3,10.575,8,419000
Project 504,185,100,15,1020000,2,1,1,1,1,3,1,1,1,1,3650,11,4900,3,2,1,1,2,11.56666667,11.83333333,3,11.82166667,9,442750
Project 505,180,100,13,2920000,2,1,2,2,2,3,2,2,2,2,3850,11,5150,3,3,2,2,2,17.5,14.56666667,3,14.573,10,718250
Project 506,140,90,16,2020000,2,1,2,2,2,2,1,1,2,2,3650,10,5100,1,2,1,1,2,17.53333333,13.76666667,3,13.742,11,630000
Project 507,170,90,18,4020000,2,1,2,1,2,2,1,2,2,2,3850,11,5150,1,2,1,1,2,17.5,14.56666667,2,14.573,9,677500
Project 508,190,110,16,3120000,2,2,2,1,2,3,2,1,1,2,3950,12,5300,3,2,1,1,2,17.53333333,13.76666667,3,13.742,12,770000
Project 509,200,120,18,2170000,2,2,2,1,2,3,2,1,1,2,3650,11,5100,3,1,1,1,2,16.66666667,12.16666667,2,12.16,9,848000
Project 510,230,130,8,5170000,2,2,2,2,2,3,3,2,2,3,3750,14,5450,3,3,2,2,2,17.5,14.56666667,2,14.573,12,864000
Project 511,220,130,13,6170000,2,1,2,1,2,3,2,1,1,3,3000,13,4300,3,3,2,2,2,17.9,15.13333333,2,15.10033333,14,918000
Project 512,180,110,10,4170000,2,1,2,2,2,3,2,2,1,2,3300,13,4700,3,3,2,2,2,17.23333333,30.33333333,2,30.31233333,12,675000
Project 513,210,100,10,4220000,2,1,2,2,2,3,1,2,2,2,3450,12,4800,3,2,1,1,2,19.7,26.23333333,1,26.23333333,7,745500
Project 514,190,100,10,3020000,2,1,2,2,2,3,1,1,2,1,3300,10,4600,3,3,2,2,2,19.63333333,14.93333333,2,14.928,9,660000
Project 515,220,95,24,3250000,2,2,2,1,2,2,2,1,1,3,2850,12,4200,3,3,2,2,2,17.23333333,30.33333333,3,30.31233333,10,1083750
Project 516,230,100,20,3450000,2,1,2,2,2,2,2,2,1,3,3500,11,5000,3,3,2,2,2,17.5,14.56666667,2,14.573,12,1635000
Project 517,250,110,18,4450000,2,1,2,2,2,3,2,1,1,3,3700,13,5500,3,3,2,2,2,17.53333333,13.76666667,3,13.742,15,1867500
Project 518,250,110,20,3440000,2,2,2,2,2,3,2,1,1,3,3600,12,5150,3,3,2,2,2,17.9,15.13333333,3,15.10033333,14,1818000
Project 519,270,100,39,3570000,2,2,1,2,1,3,2,2,2,2,3800,15,5200,3,2,1,1,2,17.53333333,13.76666667,2,13.742,11,776500
Project 520,210,100,24,2570000,2,1,2,2,2,3,1,1,1,2,3600,15,4950,3,2,2,2,2,17.5,14.56666667,2,14.573,9,731500
Project 521,260,120,22,4560000,2,2,2,2,2,3,2,1,1,2,3250,15,4750,3,2,2,2,2,19.7,26.23333333,2,26.23333333,5,822000
Project 522,250,105,14,4570000,2,1,1,2,2,3,2,2,1,3,3500,9,5050,3,2,2,2,2,18.23333333,12.96666667,2,12.985,6,763000
Project 523,230,110,19,3880000,2,1,2,2,2,3,2,2,2,1,1850,11,2850,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,7,510000
Project 524,210,100,18,1970000,2,1,2,2,2,3,2,2,2,1,1850,11,2750,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,7,475000
Project 525,210,100,19,1470000,2,1,2,2,2,3,2,2,2,1,2100,11,3150,1,3,2,2,1,13.83333333,14.53333333,2,14.51866667,8,520000
Project 526,200,105,17,3270000,2,2,2,2,2,3,2,1,1,2,2800,10,4000,3,3,2,1,2,16.53333333,29.73333333,1,29.76633333,7,658500
Project 527,180,90,20,4150000,2,2,2,2,2,2,2,1,1,2,3250,9,4750,3,3,2,1,2,19.7,26.23333333,2,26.23333333,6,670000
Project 528,170,80,13,3150000,2,1,1,1,1,2,1,2,1,2,3700,8,5100,1,2,1,1,2,17.9,15.13333333,3,15.10033333,7,628000
Project 529,210,100,16,5170000,2,2,2,1,2,3,2,2,2,2,2800,10,4150,1,2,1,1,2,16.53333333,29.73333333,1,29.76633333,9,646000
Project 530,220,100,17,6150000,2,1,1,2,2,3,2,2,1,1,1850,11,3100,1,2,1,1,2,11.56666667,11.83333333,2,11.82166667,8,497500
Project 531,220,100,15,5240000,2,1,1,2,2,3,2,2,1,2,3500,11,5050,1,2,1,1,2,18.23333333,12.96666667,2,12.985,8,731500
Project 532,185,90,16,2260000,1,1,2,1,1,2,1,1,1,1,2650,9,3850,3,1,1,1,2,15.4,18.76666667,1,18.753,7,546000
Project 533,190,85,14,1280000,2,1,1,1,2,2,1,1,1,1,3900,8,5100,3,2,1,1,2,16.66666667,12.16666667,3,12.16,6,658750
Project 534,235,120,19,3207000,2,1,2,2,2,3,2,2,2,2,4000,11,5450,1,2,2,2,2,15.96666667,7,3,6.962666667,8,893500
Project 535,240,120,24,6275000,2,1,2,2,2,3,2,2,2,3,4100,12,6000,1,2,1,1,2,14.3,4.6,3,4.624666667,6,948500
Project 536,310,150,24,5275000,2,1,2,2,2,4,3,2,2,3,3700,8,5300,1,2,1,1,2,17.9,15.13333333,2,15.10033333,11,1083000
Project 537,250,100,26,4325000,2,2,2,2,2,2,2,2,1,2,3700,10,5300,1,2,1,1,2,17.9,15.13333333,2,15.10033333,13,772000
Project 538,230,120,19,2320000,2,1,2,2,2,3,2,1,1,2,3500,11,4850,3,1,1,1,2,18.23333333,12.96666667,2,12.985,7,827500
Project 539,210,100,26,3570000,2,2,2,2,2,2,2,2,2,1,1650,10,2650,3,2,1,2,2,11.43333333,8.433333333,2,8.437666667,11,457000
Project 540,210,100,58,4575000,2,2,2,2,2,3,1,2,2,2,2800,10,4150,3,2,1,2,2,16.53333333,29.73333333,3,29.76633333,13,655000
Project 541,190,95,22,2570000,2,1,2,1,1,2,1,1,2,2,3250,13,4550,1,1,1,1,2,19.7,26.23333333,1,26.23333333,16,675000
Project 542,180,80,22,2320000,2,2,2,1,1,2,1,2,2,1,2450,13,3650,1,1,1,1,2,15.4,18.76666667,1,18.753,11,392000
Project 543,310,140,15,6420000,2,2,2,2,1,4,3,2,2,3,3300,14,5050,3,1,2,1,2,18.23333333,12.96666667,2,12.985,14,920000
Project 544,270,120,12,5270000,2,2,2,1,2,3,2,1,1,3,3600,9,5200,3,3,2,2,1,17.53333333,13.76666667,3,13.742,6,840500
Project 545,250,110,14,3280000,2,1,2,1,2,3,2,2,1,2,3400,5,4750,3,3,2,2,1,17.5,14.56666667,2,14.573,5,728000
